sno,re_1,re_2,re_3,re_4,re_5,re_6,re_7,re_8,ar_re_1,ar_re_2,ar_re_3,ar_re_4,ar_re_5,ar_re_6,ar_re_7,ar_re_8,rea,le_1,le_2,le_3,le_4,le_5,le_6,le_7,le_8,ar_le_1,ar_le_2,ar_le_3,ar_le_4,ar_le_5,ar_le_6,ar_le_7,ar_le_8,lea,x,y
170,0.27844,0.3075,0.44934,0.24496,0.25656,0.50055,0.3473,0.28125,19:25:36,83:74:19,134:206:13,74:431:17,19:458:36,35:343:118,114:139:95,31:28:28,11.371474641022008,0.33727,0.7082,0.76547,0.3102,0.29598,0.42484,0.32934,0.29539,0:32:0,23:99:30,76:239:85,30:472:45,28:496:36,114:398:46,179:150:51,26:26:30,9.162347045721747,10,1
171,0.28125,0.34039,0.43723,0.22285,0.26449,0.49242,0.34969,0.28125,13:17:31,77:73:29,134:199:18,75:406:18,19:441:53,35:321:122,112:128:98,35:21:25,11.433681265426657,0.28918,0.67777,0.74977,0.29492,0.28852,0.42762,0.33895,0.28574,0:29:0,18:95:33,68:241:92,30:449:54,28:469:36,114:374:44,178:158:61,23:20:22,9.211026540816688,10,1
172,0.27258,0.29285,0.44227,0.22582,0.24945,0.4909,0.35863,0.28125,19:23:38,83:67:28,132:198:19,77:418:18,19:441:53,35:334:127,102:137:93,29:28:28,11.371474641022008,0.31566,0.68262,0.75605,0.30113,0.28371,0.4248,0.34145,0.29266,0:32:0,23:99:30,76:239:85,30:472:45,38:488:38,135:357:44,171:144:51,25:26:30,9.162347045721747,10,1
173,0.28125,0.32316,0.45906,0.21863,0.25199,0.49996,0.35602,0.28125,19:23:33,83:67:19,132:195:13,77:415:17,19:441:36,27:325:116,101:145:100,31:28:28,11.309932474020195,0.31277,0.64266,0.7334,0.29887,0.27766,0.4234,0.3182,0.28125,0:29:0,24:97:30,68:234:85,30:463:37,28:497:19,114:374:27,179:145:48,26:23:26,9.114175054791202,10,1
174,0.28211,0.37359,0.45969,0.19895,0.27793,0.50652,0.33488,0.28125,19:23:33,85:67:19,118:195:13,58:415:17,17:415:35,28:339:114,85:134:90,34:24:28,11.003540851749541,0.28422,0.64734,0.77793,0.33945,0.27574,0.42691,0.33551,0.29156,0:29:0,30:96:42,62:223:71,30:441:28,28:452:18,114:357:27,168:158:38,21:22:22,9.462322208025613,10,1
175,0.28191,0.3743,0.45691,0.21691,0.29301,0.52344,0.34055,0.28125,19:23:33,81:73:21,123:188:12,77:415:17,19:441:36,35:316:116,104:138:100,31:28:28,11.063500533343325,0.32238,0.66293,0.75414,0.34547,0.27434,0.41688,0.3093,0.27988,0:32:0,22:99:30,61:239:85,20:462:46,27:466:38,122:369:44,169:144:51,25:26:30,9.462322208025613,10,1
176,0.28125,0.34066,0.46906,0.22547,0.25566,0.5159,0.35602,0.28125,19:20:28,83:71:20,127:179:12,72:388:17,19:420:47,27:313:130,89:133:92,31:22:22,10.696510735778112,0.29797,0.64602,0.77266,0.36863,0.27602,0.43012,0.30656,0.28125,0:29:0,9:86:21,58:228:85,20:431:46,28:448:38,116:331:44,181:131:51,25:25:30,9.710569266013474,10,1
177,0.28031,0.3402,0.45613,0.20074,0.26715,0.51652,0.36699,0.28125,13:17:28,81:75:20,128:179:12,72:388:17,19:426:36,27:330:114,89:140:90,31:22:22,11.063500533343325,0.31984,0.64574,0.75551,0.36609,0.27957,0.4248,0.31406,0.28293,0:34:0,17:89:23,61:227:83,20:453:40,27:439:18,118:360:36,177:133:51,26:23:26,9.462322208025613,10,1
178,0.28102,0.32305,0.47523,0.21246,0.24562,0.49188,0.37648,0.2807,13:17:27,81:71:21,134:175:12,72:388:17,19:426:36,27:323:123,89:132:94,31:28:28,11.309932474020195,0.29918,0.63105,0.75398,0.3402,0.27004,0.42184,0.30586,0.28742,0:29:0,9:86:21,58:223:92,20:422:55,28:448:38,101:340:44,171:142:51,26:26:30,9.412629436866185,10,1
179,0.27344,0.3334,0.42703,0.2207,0.26574,0.4966,0.34031,0.28125,13:19:30,74:71:24,136:189:18,72:391:18,19:426:53,27:330:127,89:137:93,31:28:28,11.003540851749541,0.3348,0.63406,0.73211,0.3043,0.27785,0.41543,0.30934,0.28602,0:34:0,15:93:21,68:234:85,30:463:37,35:461:18,122:366:28,185:158:46,28:23:26,9.114175054791202,10,1
180,0.28125,0.33395,0.43754,0.22074,0.26664,0.49488,0.33578,0.28125,13:17:27,77:73:21,126:188:12,77:415:17,19:438:47,35:308:122,104:128:88,35:24:23,11.063500533343325,0.3009,0.61047,0.74816,0.33777,0.26383,0.40922,0.31379,0.28875,0:29:0,14:96:23,68:228:92,28:432:58,28:451:36,122:369:44,169:144:51,25:26:30,9.462322208025613,10,1
181,0.28125,0.33496,0.43871,0.20547,0.27328,0.50461,0.33016,0.28266,13:17:27,71:73:21,128:189:12,72:377:18,19:410:53,27:313:127,89:132:90,31:28:28,11.063500533343325,0.33094,0.68828,0.77434,0.34785,0.2702,0.41805,0.32492,0.28359,0:29:0,14:91:21,61:221:92,19:410:55,28:448:38,114:331:44,178:131:51,27:25:30,9.462322208025613,10,1
182,0.28125,0.31945,0.46008,0.2291,0.26957,0.5273,0.36297,0.28125,19:23:33,77:67:19,125:189:13,75:367:17,19:410:53,27:313:127,89:126:93,26:23:28,11.371474641022008,0.29957,0.69242,0.74898,0.28895,0.25574,0.42074,0.31902,0.28125,0:29:0,22:91:30,68:222:85,28:411:45,38:426:36,126:340:35,160:158:37,21:22:22,9.162347045721747,10,1
183,0.27895,0.30438,0.46816,0.22977,0.29238,0.52773,0.35348,0.28125,13:17:27,77:71:24,135:182:18,85:384:18,19:426:53,27:317:121,89:144:98,29:28:28,11.433681265426657,0.30078,0.67523,0.77688,0.33582,0.25926,0.42992,0.33809,0.28301,0:29:0,17:86:31,65:223:101,30:424:62,28:435:54,114:348:51,168:158:51,21:22:24,9.211026540816688,10,1
184,0.28125,0.31523,0.32445,0.27324,0.25387,0.29883,0.30531,0.28125,15:12:15,95:46:9,134:125:11,99:240:18,43:257:56,17:200:136,19:81:90,22:14:19,11.124108975782226,0.28125,0.35648,0.42172,0.38812,0.31293,0.3048,0.31363,0.28125,0:21:0,14:58:17,42:143:112,19:266:99,17:266:86,55:217:105,102:87:97,19:16:22,9.51253760227898,10,1
185,0.28125,0.24566,0.37387,0.24664,0.31523,0.50395,0.38703,0.29129,20:21:29,80:57:19,135:178:13,74:372:18,18:370:53,18:301:139,62:130:83,31:28:23,11.742578465039564,0.3191,0.59316,0.74527,0.32172,0.27879,0.37766,0.29969,0.28125,0:32:0,22:81:41,51:205:108,20:387:72,28:401:54,98:315:61,153:127:65,21:20:22,9.211026540816688,10,1
186,0.26969,0.34949,0.44523,0.20844,0.2618,0.49234,0.34398,0.28082,18:25:33,79:79:21,127:191:12,67:426:17,18:452:47,27:317:121,101:145:96,31:28:23,11.433681265426657,0.35527,0.69684,0.76969,0.34031,0.26863,0.3973,0.3091,0.2816,0:38:0,25:97:32,58:239:83,20:471:40,28:469:18,114:374:27,175:164:38,21:22:22,9.211026540816688,10,1
187,0.28125,0.46777,0.79957,0.31918,0.27941,0.69492,0.45816,0.28125,17:25:46,78:83:35,112:219:18,56:495:18,18:506:36,37:393:111,126:155:92,31:22:22,11.730775332287395,0.45996,0.82789,0.8859,0.40988,0.34754,0.52684,0.39621,0.30023,0:32:0,28:102:44,76:264:85,30:510:28,41:559:0,146:443:10,173:167:25,27:29:23,8.383248480929382,10,1
188,0.28352,0.43586,0.76184,0.31996,0.26762,0.69555,0.50363,0.28895,18:26:41,71:77:29,110:220:18,61:511:18,18:506:36,46:383:111,125:153:91,40:29:27,11.43030158162755,0.48551,0.8584,0.89141,0.38645,0.31609,0.54152,0.3775,0.29434,0:35:0,33:118:43,80:275:68,30:535:19,39:560:0,162:407:10,183:170:25,29:26:19,8.426969021480678,10,1
189,0.28125,0.43691,0.66496,0.21934,0.26785,0.62117,0.41457,0.28125,15:21:31,66:86:20,117:222:13,74:452:17,19:476:36,37:377:114,117:149:90,31:22:22,11.491439088113394,0.50699,0.83008,0.85488,0.33754,0.31551,0.49527,0.3625,0.30766,0:38:0,22:102:34,78:251:84,30:499:37,28:533:19,128:399:27,165:161:38,27:29:27,8.426969021480678,10,1
190,0.28125,0.36387,0.61848,0.24977,0.2793,0.59941,0.40621,0.28207,19:25:36,77:74:19,131:206:13,77:431:17,19:458:36,35:343:123,115:140:92,37:24:27,11.249044314674295,0.54461,0.81113,0.85332,0.39562,0.28891,0.45922,0.34191,0.28891,0:38:0,27:101:32,68:246:83,30:481:40,29:486:18,133:404:28,179:150:38,25:26:27,9.363451245744864,10,1
191,0.28176,0.38805,0.59355,0.23621,0.24695,0.57527,0.39199,0.28234,19:23:38,83:73:29,132:191:18,77:418:18,19:441:53,35:334:130,103:144:91,40:29:26,11.188799928251772,0.50699,0.79352,0.85801,0.38652,0.28832,0.45441,0.3273,0.28621,0:38:0,26:104:40,73:240:85,30:467:37,38:477:18,144:398:28,167:150:38,25:26:27,9.314779754289772,10,1
192,0.28125,0.35141,0.57227,0.24785,0.25848,0.56543,0.39941,0.28125,19:23:38,83:73:29,132:191:18,77:418:18,19:441:53,35:334:131,103:140:98,34:24:28,11.249044314674295,0.45996,0.79398,0.85504,0.38277,0.28754,0.47535,0.3393,0.29176,0:32:0,25:93:42,65:234:101,31:475:55,28:497:38,127:365:44,170:154:51,21:26:30,9.363451245744864,10,1
193,0.27633,0.33262,0.57074,0.27086,0.26863,0.54766,0.39789,0.28125,13:19:35,78:79:28,125:213:19,67:466:17,18:492:36,37:371:123,115:152:91,37:27:29,11.249044314674295,0.5148,0.79656,0.8391,0.3802,0.30656,0.46969,0.34207,0.28977,0:38:0,28:106:33,73:263:68,30:517:21,41:541:0,148:425:10,178:171:25,23:28:23,9.066502739816135,10,1
194,0.28125,0.34504,0.62031,0.2859,0.27617,0.55922,0.40074,0.28125,15:20:32,70:73:28,134:209:19,75:410:18,19:446:53,28:358:127,101:145:93,31:28:28,11.61567012446617,0.54461,0.80363,0.85391,0.3768,0.3077,0.49816,0.35078,0.28965,0:38:0,17:104:31,58:240:101,20:457:54,28:469:36,119:374:45,175:164:55,26:26:30,9.114175054791202,10,1
195,0.27941,0.32422,0.58012,0.2707,0.23855,0.52453,0.41484,0.28711,13:19:31,72:79:20,123:197:12,74:431:17,19:458:37,37:353:123,112:132:100,35:24:28,11.003540851749541,0.50699,0.8141,0.86293,0.36984,0.30738,0.48238,0.34215,0.29148,0:38:0,17:102:24,73:245:73,31:508:40,38:505:18,134:398:28,179:150:38,25:26:27,9.412629436866185,10,1
196,0.28125,0.35098,0.49793,0.23219,0.23465,0.49246,0.34902,0.28125,19:23:33,83:67:19,127:189:13,72:377:16,19:426:37,27:323:123,89:133:92,31:22:22,10.94421969906755,0.405,0.73863,0.79891,0.34855,0.28406,0.44059,0.30531,0.28156,0:34:0,8:93:14,53:234:83,20:453:40,28:452:18,114:357:28,175:158:40,26:26:27,9.363451245744864,10,1
197,0.2748,0.25121,0.28559,0.25008,0.25289,0.37188,0.30309,0.28125,19:23:28,88:70:16,136:161:12,72:344:18,18:349:59,18:266:136,46:115:90,26:18:22,11.371474641022008,0.29031,0.58965,0.63676,0.26652,0.30418,0.3491,0.32008,0.28172,0:25:0,16:80:20,51:198:101,20:390:66,27:373:54,86:297:57,160:127:65,25:25:32,9.462322208025613,10,1
198,0.28156,0.51082,0.74137,0.24797,0.24402,0.53234,0.36762,0.28449,18:25:38,76:82:26,117:222:13,67:466:17,18:492:36,37:377:114,119:149:98,37:24:28,11.793429684910492,0.50699,0.8275,0.88281,0.37293,0.29914,0.49938,0.35652,0.29137,0:38:0,42:106:57,65:246:83,30:484:37,41:524:19,146:390:18,165:161:25,27:29:23,8.383248480929382,10,1
199,0.29898,0.6007,0.87949,0.48617,0.32289,0.74645,0.54043,0.30469,19:26:49,78:89:33,117:242:19,67:511:17,18:542:36,58:419:111,145:165:92,30:22:22,11.730775332287395,0.57059,0.85188,0.89223,0.4298,0.4066,0.59348,0.4148,0.31152,0:42:0,44:114:60,75:268:92,31:568:37,38:578:1,154:441:10,168:188:25,23:24:19,8.087879974538009,10,1
200,0.28906,0.68625,0.88355,0.42805,0.3334,0.75977,0.51531,0.29762,13:22:44,76:87:36,120:234:25,67:511:17,18:542:37,46:424:129,131:172:92,30:26:26,11.43030158162755,0.48551,0.81914,0.89203,0.45777,0.36082,0.62227,0.39914,0.29484,0:35:0,28:101:36,76:275:99,30:544:46,39:578:19,162:429:27,173:167:38,27:29:27,8.383248480929382,10,1
201,0.28227,0.5634,0.87375,0.47445,0.32207,0.74883,0.53273,0.29016,13:23:48,75:90:38,112:222:29,74:495:18,20:544:36,46:410:123,133:159:100,40:29:28,11.668774000368952,0.49148,0.79754,0.88184,0.40746,0.40023,0.59441,0.42711,0.32852,0:34:0,38:108:48,76:275:100,30:535:55,39:560:20,162:424:27,184:182:38,27:29:27,8.04609100745243,10,8
202,0.29391,0.67289,0.87879,0.36379,0.31504,0.73516,0.48625,0.29828,17:25:47,72:78:33,112:233:19,86:496:17,20:538:47,46:399:130,126:159:92,30:22:22,11.668774000368952,0.48551,0.84664,0.8925,0.4452,0.34395,0.61016,0.39195,0.29199,0:35:0,25:110:46,76:276:101,30:527:46,51:568:19,166:416:27,173:187:35,22:24:19,8.339976065723551,10,8
203,0.29031,0.58691,0.85105,0.28664,0.26617,0.68902,0.47617,0.29723,15:25:41,72:87:29,123:223:19,67:480:17,18:508:36,37:396:114,121:168:90,30:22:22,11.668774000368952,0.48551,0.83949,0.88945,0.4384,0.30809,0.59781,0.39105,0.2841,0:35:0,26:105:45,76:264:84,31:531:37,38:542:1,157:407:10,172:170:25,21:22:19,8.589126455069437,10,8
204,0.2825,0.40398,0.59164,0.23293,0.28188,0.56496,0.40703,0.28562,19:25:36,80:73:21,134:188:12,74:402:18,18:413:53,28:339:131,89:127:91,35:24:28,11.856747277395247,0.41152,0.77863,0.80008,0.32641,0.2777,0.46789,0.31918,0.28023,0:34:0,25:89:33,68:222:99,28:432:58,28:451:36,129:365:34,178:139:48,25:23:26,8.426969021480678,10,8
205,0.28125,0.25609,0.33605,0.17355,0.24242,0.45738,0.33355,0.28125,16:16:23,86:57:16,127:151:12,72:342:17,18:349:43,17:295:127,41:114:85,31:20:20,11.433681265426657,0.295,0.56965,0.67422,0.25215,0.26133,0.36441,0.3223,0.28125,0:25:0,15:83:21,38:188:91,20:369:55,27:373:36,86:297:41,160:127:51,25:25:30,8.861864406397533,10,8
206,0.28125,0.24746,0.2907,0.19047,0.25938,0.3952,0.34863,0.28379,15:16:27,86:60:21,127:161:12,72:344:18,18:354:51,18:274:131,58:112:83,31:23:23,11.678784328060386,0.31668,0.49148,0.53727,0.24891,0.23656,0.33059,0.32809,0.28359,0:30:0,15:77:21,56:191:103,28:368:55,27:374:37,96:290:61,166:121:60,23:20:22,8.56088957116463,10,8
207,0.28125,0.27207,0.27727,0.19164,0.23266,0.4068,0.36414,0.28602,13:16:27,91:66:21,133:161:12,72:332:17,18:363:53,18:274:126,52:112:85,33:23:23,11.742578465039564,0.28578,0.46445,0.49566,0.25648,0.24469,0.31609,0.35078,0.28281,0:25:0,15:79:21,46:174:99,19:359:72,28:384:54,85:307:61,161:127:66,27:25:27,8.606473519788914,10,8
208,0.27652,0.25719,0.27516,0.19418,0.25051,0.4084,0.38531,0.28125,16:19:27,95:55:15,133:139:12,66:300:18,18:323:51,16:253:126,28:99:85,28:16:20,11.371474641022008,0.28125,0.48195,0.46258,0.25168,0.27781,0.33125,0.35121,0.28125,0:22:0,9:71:13,42:173:103,19:325:73,18:349:54,65:274:68,142:110:80,28:22:29,8.861864406397533,10,8
209,0.27961,0.26016,0.24848,0.17762,0.20422,0.37023,0.29723,0.28125,16:19:28,95:55:15,133:139:12,72:310:18,17:312:51,17:260:131,28:107:83,28:23:23,11.678784328060386,0.29719,0.46297,0.44738,0.23496,0.26641,0.31273,0.32457,0.28125,0:26:0,16:69:21,56:173:92,28:334:54,27:357:36,85:281:42,153:116:61,28:22:28,8.56088957116463,10,8
210,0.28125,0.26836,0.25621,0.17531,0.22445,0.36074,0.28926,0.28125,16:14:24,91:53:21,127:143:12,89:302:17,27:324:59,17:240:136,46:104:90,30:16:20,11.433681265426657,0.28875,0.46828,0.48121,0.25555,0.25316,0.31023,0.31348,0.28125,0:25:0,4:74:12,42:186:103,19:342:74,27:341:55,85:257:74,165:110:79,28:22:29,8.861864406397533,10,8
211,0.27797,0.25633,0.25828,0.18672,0.2418,0.39746,0.36227,0.28191,17:19:27,100:58:15,133:141:12,90:324:17,25:332:43,18:266:122,47:112:91,30:23:28,11.433681265426657,0.31367,0.45551,0.48512,0.23961,0.28434,0.33809,0.3407,0.28125,0:27:0,16:83:25,56:177:88,28:351:54,27:373:36,96:290:44,168:116:57,20:17:22,8.606473519788914,10,8
